Date,Price
06/22/2020,137819008
06/21/2020,133030000
06/20/2020,134251008
06/19/2020,133809000
06/18/2020,134500992
06/17/2020,135563008
06/16/2020,136106000
06/15/2020,136959008
06/14/2020,137140992
06/13/2020,137748992
06/12/2020,137070000
06/11/2020,136882000
06/10/2020,140254000
06/09/2020,138152000
06/08/2020,138000000
06/07/2020,138138000
06/06/2020,137890000
06/05/2020,137014000
06/04/2020,139484992
06/03/2020,137975008
06/02/2020,137775008
06/01/2020,145898000
05/31/2020,137799008
05/30/2020,140383008
05/29/2020,137910000
05/28/2020,141196000
05/27/2020,137030000
05/26/2020,132720000
05/25/2020,133745000
05/24/2020,132345000
05/23/2020,137890000
05/22/2020,138620000
05/21/2020,136383008
05/20/2020,141451008
05/19/2020,143232000
05/18/2020,143239008
05/17/2020,142548992
05/16/2020,140340992
05/15/2020,138432000
05/14/2020,144775008
05/13/2020,138884000
05/12/2020,133500000
05/11/2020,130603000
05/10/2020,132106000
05/09/2020,143316992
05/08/2020,146499008
05/07/2020,148174000
05/06/2020,138604992
05/05/2020,136099008
05/04/2020,133352000
05/03/2020,131650000
05/02/2020,132223000
05/01/2020,131352000
04/30/2020,127862000
04/29/2020,133000000
04/28/2020,118919000
04/27/2020,118979000
04/26/2020,116697000
04/25/2020,115295000
04/24/2020,114739000
04/23/2020,114370000
04/22/2020,110757000
04/21/2020,108356000
04/20/2020,108999000
04/19/2020,109741000
04/18/2020,112098000
04/17/2020,109858000
04/16/2020,111294000
04/15/2020,105141000
04/14/2020,109398000
04/13/2020,111526000
04/12/2020,112296000
04/11/2020,112310000
04/10/2020,111425000
04/09/2020,117290000
04/08/2020,118804000
04/07/2020,117197000
04/06/2020,117481000
04/05/2020,111898000
04/04/2020,112019000
04/03/2020,111610000
04/02/2020,111484000
04/01/2020,110338000
03/31/2020,106036000
03/30/2020,105742000
03/29/2020,98093000
03/28/2020,103124000
03/27/2020,104752000
03/26/2020,110496000
03/25/2020,109706000
03/24/2020,110400000
03/23/2020,107693000
03/22/2020,96482000
03/21/2020,100855000
03/20/2020,102008000
03/19/2020,100551000
03/18/2020,83669000
03/17/2020,83300000
03/16/2020,76883000
03/15/2020,81358000
03/14/2020,79743000
03/13/2020,84505000
03/12/2020,76500000
03/11/2020,116000000
03/10/2020,114848000
03/09/2020,115974000
03/08/2020,116600000
03/07/2020,126872000
03/06/2020,129666000
03/05/2020,128330000
03/04/2020,125091000
03/03/2020,125551000
03/02/2020,127812000
03/01/2020,122792000
02/29/2020,123000000
02/28/2020,124992000
02/27/2020,124579000
02/26/2020,124654000
02/25/2020,131100000
02/24/2020,134580992
02/23/2020,136412992
02/22/2020,133890000
02/21/2020,134255008
02/20/2020,132818000
02/19/2020,134500000
02/18/2020,139780992
02/17/2020,134187000
02/16/2020,137575008
02/15/2020,137316992
02/14/2020,141528000
02/13/2020,140342000
02/12/2020,140110000
02/11/2020,139452000
02/10/2020,135415008
02/09/2020,137784992
02/08/2020,134848992
02/07/2020,133600000
02/06/2020,131708000
02/05/2020,129751000
02/04/2020,126442000
02/03/2020,127800000
02/02/2020,127201000
02/01/2020,128499000
01/31/2020,127444000
01/30/2020,127670000
01/29/2020,123343000
01/28/2020,121682000
01/27/2020,119239000
01/26/2020,117724000
01/25/2020,114578000
01/24/2020,115400000
01/23/2020,115083000
01/22/2020,118646000
01/21/2020,119201000
01/20/2020,118514000
01/19/2020,119250000
01/18/2020,120918000
01/17/2020,120708000
01/16/2020,118620000
01/15/2020,119494000
01/14/2020,118425000
01/13/2020,110454000
01/12/2020,111714000
01/11/2020,109901000
01/10/2020,112900000
01/09/2020,109234000
01/08/2020,112612000
01/07/2020,110408000
01/06/2020,107000000
01/05/2020,101701000
01/04/2020,101995000
01/03/2020,101698000
01/02/2020,98000000
01/01/2020,101139000
